,total, wrote, labeled, unlabeled, opened, closed, reopened, self, edited, pushed, merged, submitted, synchronize
lizmat, 28, 10, , , 1, 3, 2, 1, 2, 9, , , 
vrurg, 17, 8, , , 2, 1, , , 1, 1, 1, 3, 
patzim, 15, 6, , , 2, , , , , , , 3, 4
AlexDaniel, 4, 2, 1, , , , 1, , , , , , 
ugexe, 3, 3, , , , , , , , , , , 
MasterDuke17, 3, 1, , , 1, , , , 1, , , , 
jnthn, 2, 1, , , , 1, , , , , , , 
JJ, 2, 1, , , , , , , , 1, , , 
rehsack, 2, 1, , , 1, , , , , , , , 
thundergnat, 1, , , , 1, , , , , , , , 
