,total, wrote, labeled, unlabeled, opened, closed, reopened, self, edited, pushed, merged, submitted, synchronize
JJ, 78, 13, 2, , 3, , , , 42, 14, 2, 2, 
Altai-man, 21, 4, , , 3, , , , 9, 5, , , 
ElenaMerelo, 20, 4, , , 1, , , , 5, 10, , , 
antoniogamiz, 12, 1, , , 2, , , , 7, , , , 2
AlexDaniel, 6, 2, , , , , , , 2, 1, 1, , 
coke, 3, , , , 1, , , , , 2, , , 
cfa, 3, , , , , , , , , 3, , , 
patzim, 2, , , , , , , , 2, , , , 
Kaiepi, 2, 1, , , , , , , 1, , , , 
Leont, 1, 1, , , , , , , , , , , 
lichtkind, 1, 1, , , , , , , , , , , 
