,total, wrote, labeled, unlabeled, opened, closed, reopened, self, edited, pushed, merged, submitted, synchronize
AlexDaniel, 5, 3, , , , , , , , , , 2, 
JJ, 4, 3, , , , , , , , 1, , , 
bduggan, 2, 2, , , , , , , , , , , 
Kaiepi, 2, , 1, , 1, , , , , , , , 
timo, 2, 1, , , , , , , , , , 1, 
lembark, 2, 1, , , , , , , , , , 1, 
Altai-man, 2, 1, , , , , , , , 1, , , 
alabamenhu, 1, 1, , , , , , , , , , , 
titsuki, 1, 1, , , , , , , , , , , 
taboege, 1, 1, , , , , , , , , , , 
Xliff, 1, 1, , , , , , , , , , , 
tbrowder, 1, , , , , , , , , 1, , , 
