,total, wrote, labeled, unlabeled, opened, closed, reopened, self, edited, pushed, merged, submitted, synchronize
JJ, 35, 14, 2, , 1, , , , 1, 4, 4, 6, 3
AlexDaniel, 29, 3, , , , , , , 17, 7, 1, 1, 
MasterDuke17, 18, , , , , , , , 9, 9, , , 
threadless-screw, 11, 5, , , , , , , , , , 5, 1
uzluisf, 9, 2, , , 3, , , , 4, , , , 
antoniogamiz, 8, 1, 1, , 1, , 1, 1, 2, 1, , , 
Kaiepi, 7, 2, , , 1, , , , 2, 2, , , 
rba, 5, 2, 2, , 1, , , , , , , , 
sjn, 4, 1, , , 1, , , , 1, 1, , , 
coke, 3, 1, , , , , , , , 2, , , 
Altai-man, 2, 1, , , , , , , , , , 1, 
tbrowder, 1, , , , , , , , 1, , , , 
